wallet,total_txns,unique_actions,total_amount,total_deposit,total_borrow,total_repay,total_redeem,total_liquidations,days_active,repay_ratio,deposit_redeem_ratio
0x003a85c562730b196f7cba202a2515f2ff855736,177,4,4.1413962967975334e+17,3.977519507196101e+17,5000000000323200.0,5000087055004990.0,6387591904815041.0,0,103,1.0000174109363569,62.26946815744132
0x003a969ef82e876824b4131a1bbafbdb46a2ca90,13,3,1730000000001772.0,1730000000000000.0,885.864724,886.027497,0.0,0,3,1.000183744758754,0.0
0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,1,2.105972,2.105972,0.0,0.0,0.0,0,6,0.0,0.0
0x003ae6c26a2655eb54c1e53b03a266d97f3512e6,43,3,476147945087527.25,403647924878137.9,72500020209289.38,0.0,100.009639,0,80,0.0,4036090210046.032
0x003b2816d976cebbf0cadec981ff59286b6d7f2f,4,2,283.78941100000003,141.678625,0.0,0.0,142.110786,0,20,0.0,0.996958985224387
0x003be39433bde975b12411fbc3025d49d813a84f,4,2,0.735469,0.0,0.735469,0.0,0.0,3,33,0.0,0.0
0x003cb0842811db8d115e28f13048dd83db391dcb,1,1,1.626066,1.626066,0.0,0.0,0.0,0,1,0.0,0.0
0x003dc03b7d7fe265e1c1db88bb1c6b1e6bcd06a7,1,1,6308462378.533841,6308462378.533841,0.0,0.0,0.0,0,1,0.0,0.0
0x003e41b4f19f27ab2a07c19abe2d99ecb492ce62,6,3,5003784174000037.0,0.0,1705.879701,3412.0151690000002,5003784173994919.0,0,2,2.0001499326123935,0.0
0x003e9a119439ef34de3237034cee95675b01d5d4,31,4,24939667879482.316,12468633909189.139,17349.7,14071.128198,12471033938872.352,0,93,0.8110300580413494,0.9998075516677305
0x003ed65a094ef804c934f2427b601e03113882ff,2,1,200000000.0,200000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x003edfecb016131dbd485c72f3b6f2e98a1429d9,144,4,1554865313684264.8,1041443662163526.5,513249820437229.94,1069.3208,171831082439.1381,0,42,2.08343141569745e-12,6060.857252251797
0x003f705c2e62e268891d8aa2724e32f2176dc963,1,1,10000000000000.0,10000000000000.0,0.0,0.0,0.0,0,1,0.0,0.0
0x00402e826833fbeb6f67072f3df3c8554a0b10e6,39,4,2927312861056389.0,2083828642316590.5,17000.0,17023.583187,843484218705775.0,0,32,1.0013872462941176,2.4705010432963106
0x00405f7b768a9a6b81e8060a17f0550501acf6be,144,3,7740167828926.012,30081.600471,7740167788329.321,0.0,10515.09129,0,57,0.0,2.860802597083301
